Compound,TyreAge,LightGBM_s,XGBoost_s,CatBoost_s,LightGBM_Degradation_s,XGBoost_Degradation_s,CatBoost_Degradation_s,Ensemble_s,Ensemble_Degradation_s
HARD,21,83.02249258294196,95.20144653320312,83.99059282621482,2.2783572289784786,2.94024658203125,0.8833253841558957,87.4186628100846,2.0114793170304495
HARD,22,83.02249258294196,95.20355224609375,83.98743650460217,2.2783572289784786,2.942352294921875,0.8801690625432457,87.41826162023511,2.0110781271809657
HARD,23,82.99380786066928,95.42784881591797,83.98516045923144,2.2496725067057923,3.1666488647460938,0.8778930171725108,87.48309509434242,2.0759116012882686
HARD,24,83.12238745680085,95.41854858398438,83.99322666579162,2.378252102837365,3.1573486328125,0.8859592237326979,87.52362782795961,2.1164443349054665
HARD,25,83.20983914464406,95.41854858398438,83.9940182546303,2.4657037906805783,3.1573486328125,0.8867508125713783,87.55166296644387,2.1444794733897226
HARD,26,83.51587994997001,95.39051055908203,84.00105180154151,2.7717445960065277,3.1293106079101562,0.8937843594825807,87.6419206479132,2.2347371548590473
HARD,27,83.51587994997001,95.37814331054688,83.98927635080719,2.7717445960065277,3.116943359375,0.8820089087482614,87.63368573145547,2.2265022384013236
HARD,28,83.51587994997001,95.37814331054688,83.98522591410949,2.7717445960065277,3.116943359375,0.8779584720505653,87.63227053892156,2.2250870458674115
HARD,29,83.51587994997001,95.37814331054688,83.9804415401994,2.7717445960065277,3.116943359375,0.873174098140467,87.63059891417035,2.2234154211162007
HARD,30,83.51587994997001,95.37814331054688,83.9804415401994,2.7717445960065277,3.116943359375,0.873174098140467,87.63059891417035,2.2234154211162007
HARD,31,83.51587994997001,95.37814331054688,83.9804415401994,2.7717445960065277,3.116943359375,0.873174098140467,87.63059891417035,2.2234154211162007
HARD,32,83.51587994997001,95.35718536376953,83.9804415401994,2.7717445960065277,3.0959854125976562,0.873174098140467,87.62361590573921,2.216432412685066
HARD,33,83.51587994997001,95.35718536376953,83.9804415401994,2.7717445960065277,3.0959854125976562,0.873174098140467,87.62361590573921,2.216432412685066
HARD,34,83.51587994997001,95.35718536376953,83.9804415401994,2.7717445960065277,3.0959854125976562,0.873174098140467,87.62361590573921,2.216432412685066
HARD,35,83.51587994997001,95.48719024658203,83.98159216413467,2.7717445960065277,3.2259902954101562,0.8743247220757411,87.66733443910022,2.2601509460460676
HARD,36,83.51587994997001,95.48719024658203,83.98159216413467,2.7717445960065277,3.2259902954101562,0.8743247220757411,87.66733443910022,2.2601509460460676
HARD,37,83.51587994997001,95.48719024658203,83.98159216413467,2.7717445960065277,3.2259902954101562,0.8743247220757411,87.66733443910022,2.2601509460460676
HARD,38,83.51587994997001,95.48719024658203,83.98159216413467,2.7717445960065277,3.2259902954101562,0.8743247220757411,87.66733443910022,2.2601509460460676
