compound,tyre_age,lightgbm_s,xgboost_s,catboost_s,ensemble_s,lightgbm_deg_s,xgboost_deg_s,catboost_deg_s,ensemble_deg_s
MEDIUM,25,90.27648000484547,92.587158203125,87.96520987634233,90.23883756055405,4.855905734897078,4.176902770996094,4.124881577467377,4.374253343239374
MEDIUM,26,90.48558041235974,92.82193756103516,87.98424428417941,90.3900863242072,5.065006142411349,4.41168212890625,4.14391598530446,4.525502106892532
MEDIUM,27,90.43369294971333,92.82193756103516,87.97626568216398,90.37082875003672,5.013118679764943,4.41168212890625,4.135937383289033,4.50624453272205
MEDIUM,28,90.4789512560536,92.83391571044922,87.9369914464156,90.37546334992378,5.058376986105216,4.4236602783203125,4.096663147540653,4.510879132609105
MEDIUM,29,90.4789512560536,92.83391571044922,87.93646686199637,90.37528006401934,5.058376986105216,4.4236602783203125,4.096138563121414,4.510695846704664
MEDIUM,30,90.4789512560536,92.77914428710938,87.93646686199637,90.35703069469747,5.058376986105216,4.368888854980469,4.096138563121414,4.492446477382799
MEDIUM,31,90.4789512560536,92.77914428710938,87.93646686199637,90.35703069469747,5.058376986105216,4.368888854980469,4.096138563121414,4.492446477382799
MEDIUM,32,90.4789512560536,92.75067901611328,87.93646686199637,90.34754631011188,5.058376986105216,4.340423583984375,4.096138563121414,4.482962092797209
MEDIUM,33,90.4789512560536,92.69867706298828,87.93646686199637,90.33021970455431,5.058376986105216,4.288421630859375,4.096138563121414,4.465635487239638
MEDIUM,34,90.4789512560536,92.71746063232422,87.93646686199637,90.33647822903828,5.058376986105216,4.3072052001953125,4.096138563121414,4.471894011723606
MEDIUM,35,90.4789512560536,92.61714935302734,87.93761748593164,90.3034573890759,5.058376986105216,4.2068939208984375,4.097289187056688,4.43887317176123
MEDIUM,36,90.4789512560536,92.61714935302734,87.93761748593164,90.3034573890759,5.058376986105216,4.2068939208984375,4.097289187056688,4.43887317176123
MEDIUM,37,90.4789512560536,92.61714935302734,87.93761748593164,90.3034573890759,5.058376986105216,4.2068939208984375,4.097289187056688,4.43887317176123
MEDIUM,38,90.4789512560536,92.61714935302734,87.93761748593164,90.3034573890759,5.058376986105216,4.2068939208984375,4.097289187056688,4.43887317176123
MEDIUM,39,90.4789512560536,92.61714935302734,87.93761748593164,90.3034573890759,5.058376986105216,4.2068939208984375,4.097289187056688,4.43887317176123
MEDIUM,40,90.4789512560536,92.61714935302734,87.93761748593164,90.3034573890759,5.058376986105216,4.2068939208984375,4.097289187056688,4.43887317176123
HARD,1,80.47631815109636,91.58550262451172,80.10554922169557,84.04825939106863,0.0,0.0,0.0,0.0
HARD,2,80.47631815109636,91.58550262451172,80.10554922169557,84.04825939106863,0.0,0.0,0.0,0.0
HARD,3,86.67684774101332,96.8218994140625,80.81718289790632,88.00976867374246,6.200529589916954,5.236396789550781,0.7116336762107522,3.9615092826738305
HARD,4,84.00658079422536,94.72232055664062,80.56880960332813,86.37584178749604,3.5302626431289923,3.1368179321289062,0.46326038163256555,2.3275823964274167
HARD,5,83.06731246685885,93.84210205078125,80.52529496458446,85.76921804872624,2.5909943157624866,2.2565994262695312,0.41974574288889244,1.7209586576576186
HARD,6,83.43245653013778,94.58224487304688,80.66916469165803,86.18199687634166,2.9561383790414197,2.9967422485351562,0.5636154699624569,2.1337374852730306
HARD,7,83.0852547743822,94.07250213623047,80.82382452016911,85.95598457179041,2.608936623285828,2.48699951171875,0.718275298473543,1.9077251807217834
HARD,8,82.70892811112266,94.04377746582031,81.34373581035108,86.00861480866486,2.232609960026295,2.4582748413085938,1.238186588655509,1.960355417596233
HARD,9,82.72911657433836,94.31751251220703,81.82172028921825,86.27323335430893,2.252798423241998,2.7320098876953125,1.71617106752268,2.224973963240302
HARD,10,82.7399869702444,94.22358703613281,82.69903016685485,86.55191419011474,2.2636688191480374,2.6380844116210938,2.5934809451592855,2.5036547990461173
HARD,11,82.7815951598808,94.2022933959961,82.87271501183385,86.61871063217862,2.3052770087844294,2.616790771484375,2.7671657901382787,2.5704512411099927
HARD,12,82.83216973463665,94.11516571044922,82.84772683847254,86.59700292913503,2.355851583540286,2.5296630859375,2.7421776167769707,2.548743538066404
HARD,13,82.67689534313287,94.0870590209961,82.86035097546608,86.54276222748427,2.200577192036505,2.501556396484375,2.754801753770508,2.4945028364156485
